Molecule,GFN2 Neutral Angle,GFN2 Cation Angle,GFN2 Neutral Bond Length,GFN2 Cation Bond Length,DFT Neutral Angle,DFT Cation Angle,DFT Neutral Bond Length,DFT Cation Bond Length,Neutral Angle Error,Cation Angle Error,Neutral Bond Length Error,Cation Bond Length Error,GFN2 Delta Angle,DFT Delta Angle,GFN2 Delta Bond Length,DFT Delta Bond Length,Delta Angle Error,Delta Bond Length Error
1-16_ABAB,172.01379628381522,173.67626067483917,1.4265780991407548,1.4084941343142938,158.3432679090358,174.73745511789028,1.4482242254235924,1.4212379062768736,8.633476216136195,0.6073079422698187,1.4946667720950655,0.8966670468256688,1.6624643910239456,16.394187208854476,0.01808396482646102,0.026986319146718785,89.8594277969081,32.988397831722025
1-23_ABAB,175.114873681959,178.8254579998544,1.4247161601202727,1.4094735516003098,146.43578780902388,168.2453232550044,1.4525322428007783,1.426909911492564,19.58475199405307,6.288516399837163,1.9150062119702442,1.2219664151057439,3.710584317895382,21.809535445980515,0.015242608519962841,0.02562233130821423,82.9864128601637,40.51045419478971
1-38_ABAB,153.9854570596843,162.16018316454148,1.4274369432538483,1.4086237921210678,135.25167528814998,155.58125022183089,1.4514454348266828,1.4238276831276793,13.85105340220187,4.228615551893443,1.6541091381572552,1.0678181908370772,8.174726104857172,20.329574933680902,0.01881315113278048,0.02761775169900349,59.78899641765878,31.88022204769369
1-50_ABAB,178.54147198407387,178.69374300875995,1.4196510376017113,1.4061533790364174,174.22150190090724,179.98529207480118,1.4412868500473568,1.4196131089464696,2.4795849169201354,0.7175858933542552,1.5011454829366273,0.9481266286728706,0.15227102468608678,5.763790173893938,0.013497658565293946,0.021673741100887156,97.3581442055998,37.723448377163386
10-89_ABAB,163.1306829350135,170.39168545613413,1.4267355292542014,1.407114764594833,150.90874578275356,164.9886606529017,1.4498515592441419,1.4226654955265012,8.09889253857726,3.274785540928265,1.594372185383698,1.093070084328799,7.261002521120616,14.079914870148144,0.01962076465936846,0.02718606371764065,48.43006802182307,27.827857452431314
11-96_ABAB,172.00236311045578,173.61047589307663,1.4256636617625618,1.4124741362556663,162.366703932939,171.73166362416225,1.4475363722176773,1.4212602872574955,5.934504392905893,1.0940395202984738,1.5110301112230946,0.6181943645792869,1.6081127826208501,9.364959691223248,0.01318952550689545,0.026276084960181745,82.8284067882539,49.80406888285453
14-62_ABAB,154.09919523622474,158.1775569055719,1.4282174578874518,1.4140102659429488,135.8988833694858,149.88637220667837,1.453192851667912,1.4274605369433944,13.392539670289583,5.531646791384609,1.7186565259934032,0.9422516876891406,4.078361669347146,13.987488837192586,0.01420719194450304,0.025732314724517646,70.84278874630574,44.78851942935984
15-44_ABAB,179.30997729015084,177.92079527245514,1.414108408279571,1.4002839801988891,157.359878355512,165.80435542427426,1.4389078434125109,1.4154971189412044,13.94898061947439,7.3076728395803,1.7234901627977528,1.0747558959141368,1.3891820176957026,8.444477068762268,0.01382442808068185,0.023410724471306432,83.54922387278957,40.94831154146517
16-66_ABAB,165.95969334466918,166.45905172586063,1.4172945522311544,1.4079949203548292,139.35292867033016,145.86185850225604,1.4489309521563591,1.4282911441126906,19.093078938644442,14.12102754969766,2.1834304718331903,1.4210144648393963,0.49935838119145615,6.508929831925883,0.00929963187632521,0.020639808043668495,92.32810317385609,54.94322497258892
16-76_ABAB,158.25136076374062,165.82814284278075,1.4275225589073457,1.4119126723373523,130.48980732919793,146.5318946766018,1.4566534524084684,1.43566012555268,21.274882692183166,13.168633497004912,1.9998506475893063,1.6541138666915138,7.576782079040129,16.04208734740388,0.015609886569993403,0.020993326855788474,52.76935030361686,25.643578660857653
