Monomer 1,Monomer 2,Neutral Angle,Cation Angle,Neutral Bond Length,Cation Bond Length,Trained λ
47.0,158.0,179.36089793071721,179.71814115467203,1.3939456539824688,1.3829188302746784,0.1498132745140659
47.0,176.0,178.40164969119076,178.89226631946678,1.3940350428552153,1.3830545368498761,0.15429033521886837
47.0,238.0,178.6757252502737,176.8093532289212,1.3929740658060776,1.3831698846168254,0.17071228700235952
47.0,283.0,179.6581324808926,179.6400713251724,1.3961457293591348,1.3856308378624034,0.18110937100320976
47.0,110.0,173.776755697507,174.62867926416337,1.3910212474159194,1.3825888909316015,0.1863712932312046
47.0,225.0,179.1491344892963,179.11085789220107,1.3958388987764054,1.3857341036490771,0.19617911178138456
47.0,261.0,179.85046815738,179.4580048073639,1.398358612257078,1.3878896762274333,0.20127560374724754
47.0,161.0,179.03456386210618,179.4502890053631,1.3982730435500457,1.3867016558404142,0.2016946196189868
46.0,261.0,179.44374338104853,179.71893245599014,1.4021541353386933,1.3908257055078241,0.203750014265063
44.0,236.0,179.35207874277134,179.6032714792889,1.4044003802035512,1.3909140740402477,0.20404684195004907
115.0,213.0,174.3154089774556,175.57810787066924,1.3941288507382648,1.3845240035602169,0.20524968685524073
47.0,309.0,179.20050556206718,179.5519248881063,1.4019267861869118,1.3907572127135628,0.2058887508524252
46.0,283.0,178.9743739134631,179.180104055777,1.4004959638357262,1.388831494464176,0.20589226828834703
110.0,158.0,173.64900089675538,175.04521059987397,1.394304569295448,1.3852106804296904,0.20644738508126464
110.0,176.0,174.03739326129892,175.19487624402686,1.3948109027115256,1.3858259220416815,0.20742134858272038
47.0,236.0,179.73753806782088,179.8713390351961,1.3990989567958074,1.388074030499969,0.20880412685258
161.0,213.0,173.72703233065204,175.0704505485138,1.3945688575410875,1.3834852598091183,0.20921825239507597
44.0,238.0,179.30434063612847,179.53450652785833,1.4019118728881832,1.3888284269968267,0.20985485965644088
158.0,213.0,174.33977776308222,175.59999411842068,1.3939341716659988,1.3836627366737169,0.2098875191292609
110.0,115.0,174.04180401538218,174.8650659958076,1.3946800526070324,1.3860489482372411,0.20993894683517283
46.0,236.0,179.35872145383885,179.68911606542994,1.403071202386546,1.390829062787122,0.21205513116200259
44.0,115.0,179.55275008571567,179.14124292880817,1.4003468911283878,1.3875103274566627,0.2121970115940688
37.0,219.0,179.20677370995682,179.33276169866818,1.3997069099398445,1.3886302019113053,0.21279944935008338
176.0,213.0,174.17934632855136,175.50548951144435,1.3944770102171482,1.3848221969959464,0.2143124005483696
36.0,283.0,179.48671104151867,179.66790135946778,1.4051981884876483,1.3906557360506733,0.21467513873785113
47.0,143.0,179.17163247101,179.26736847735765,1.3969463092701144,1.3864456590930898,0.21504976014325317
47.0,197.0,178.82680931692832,179.51778851492676,1.4023222885256983,1.3892590123738309,0.21546022891721806
115.0,283.0,179.5308571401638,179.615246283642,1.3988997357517332,1.3867758285749705,0.21676276309507858
110.0,258.0,171.96621063737416,173.1067320011391,1.3927069003176251,1.3855626441471014,0.21767384471488185
115.0,261.0,179.20475501627308,179.23738101500575,1.3986190250316441,1.3870929139949133,0.2190596434518132
46.0,176.0,179.61861134050525,179.78930237177875,1.4000664252691122,1.388942458160775,0.2198505151432861
47.0,297.0,178.60137030877377,178.9958056891339,1.401915049354688,1.3905435773176047,0.22037479953096287
47.0,106.0,177.0057567495813,177.8296229248505,1.395933175553444,1.3852538156246996,0.220498547025054
213.0,238.0,173.3069248991069,173.69272720090078,1.3957986735011871,1.3871164240832998,0.2207626834057737
47.0,115.0,177.37642542002948,176.38048494196664,1.3953216996145992,1.385669517555213,0.22085675134745542
158.0,258.0,172.78104933105092,173.85938545391826,1.3964679599492225,1.3870512662883971,0.22138328348752112
43.0,261.0,179.56245348956512,179.76283909637792,1.4065659970368003,1.3938276983644258,0.22275922263521353
47.0,219.0,177.37952261936695,177.114530187998,1.3952181844860063,1.3855728511149146,0.22338526317743043
36.0,261.0,179.59783172833062,179.62535169504744,1.406793832880214,1.3924483740334856,0.22374541756380736
46.0,213.0,173.04328480427512,174.95016236820194,1.3975406374750132,1.3873021874638731,0.2238929880809543
44.0,110.0,173.17257131056954,174.13576406818257,1.397714478057754,1.3871201534301625,0.22420395942676502
46.0,158.0,178.74899170779744,178.83117645831672,1.3999455263732183,1.3890697856182623,0.2242267280932477
44.0,258.0,173.03907534539974,174.4770628346381,1.3977950850485483,1.3861703590123342,0.2250262140094128
47.0,201.0,178.8440386327563,179.15843974198063,1.397556218618888,1.3876588931885472,0.2252988521295871
36.0,110.0,173.21846461559397,174.35049155084764,1.3978520958011762,1.3874981494659295,0.2265720356539047
110.0,184.0,175.096403292507,175.87859460290372,1.393782383904072,1.3871960507211432,0.22666799750979408
115.0,176.0,178.1289918465339,178.28012408241668,1.397737974325988,1.3874792708408883,0.2273004517707644
37.0,110.0,173.53872646912475,174.7883475335432,1.3980551901501237,1.3885631203057942,0.22894745986040413
39.0,236.0,179.1144706126375,179.24029106323806,1.406954364599008,1.3937418581342602,0.22896210212197426
201.0,258.0,172.49770155619842,173.66546186392492,1.3953173818616724,1.384510422288514,0.22947216520391522
43.0,283.0,179.20096632610844,179.20493834277823,1.4050142768124771,1.3919040772930948,0.22973516604973215
46.0,115.0,179.59566109565392,179.48966883149356,1.4014895949458996,1.3921207078905666,0.23037473736435155
36.0,258.0,178.39654147643486,178.2400117112367,1.3987484598611524,1.386920587408028,0.23091288830915196
213.0,219.0,174.21373189606868,175.27283679276525,1.3942009060127971,1.3862328610304369,0.23101399584265891
238.0,283.0,178.81021669252289,178.9782747934996,1.4004862195630199,1.3883739384096965,0.23116489476296312
42.0,261.0,179.5459651598363,179.58708812549594,1.4067549125794283,1.393628932680269,0.23133373768666934
46.0,160.0,178.93728288175805,179.49986501667632,1.403055209690616,1.3891210203058642,0.23192510739225936
43.0,258.0,173.55125064237237,175.0536575183712,1.4003322665393538,1.3892231347112431,0.23238030942186014
47.0,282.0,179.12324208900841,179.4049990255348,1.4023923979229649,1.390968683594341,0.23328019445029594
249.0,258.0,174.08212501021518,174.6604696379067,1.3995220517837133,1.389515557359606,0.23344333760120206
44.0,213.0,177.6658699826854,177.9847610547778,1.3985923180715016,1.3866175929502502,0.23383085583443367
37.0,143.0,178.69170152902836,179.1449269005019,1.4010396213987246,1.3888281102092799,0.23409021389631865
42.0,283.0,179.33899343845715,179.7972836466241,1.404956488869211,1.3914836448790675,0.23444096284075447
47.0,124.0,178.56176508483207,179.15604262560612,1.4016237443160475,1.3901746711630798,0.23530642983574457
161.0,283.0,178.15437935382735,178.59034618432705,1.4020924419151817,1.3895030957050465,0.23559732099146158
43.0,213.0,173.07455750271217,174.8908701391219,1.4005750497487286,1.3891400869450319,0.2366298216251986
110.0,143.0,173.1609670556149,174.5985099902291,1.3958019485561317,1.3862320686206642,0.23666256689859438
46.0,258.0,177.81456706818508,178.24986029882663,1.3979121533386123,1.3902291019875082,0.23700662220750626
36.0,161.0,178.64868273305862,179.13930890710938,1.4048566998090075,1.390103525184195,0.23711698160616407
46.0,238.0,178.5409199752716,179.12928974281468,1.4005605580627043,1.3900845988824504,0.23712286017320972
37.0,238.0,178.10023042932426,178.8523191812809,1.4014953604209677,1.3898743262735114,0.23729630825759762
47.0,145.0,178.68161038585583,179.43976975956974,1.4015139692848408,1.3896426812814766,0.23742016495748733
154.0,213.0,173.11868297696824,174.41018685716512,1.3987057023478713,1.3874777731590922,0.237525945510463
156.0,258.0,172.30652334924068,173.36423010064053,1.3982410195045134,1.3869863777928473,0.23754341304083937
44.0,158.0,177.77099980527592,178.46324664079015,1.4025573033710774,1.3888700359028734,0.237555883100916
161.0,261.0,179.13334190506973,179.30095936104007,1.4040918118959864,1.3918647796403114,0.23772004712634953
197.0,283.0,178.25369009760288,178.59264475562352,1.4035524678008102,1.3901350683848264,0.23783955363168693
258.0,297.0,172.84188954380954,174.8485533647826,1.4008655151384721,1.3916955801397843,0.2378771026293786
