Cation Runtime (s),Neutral Runtime (s),Cation@Neutral Runtime (s),Neutral@Cation Runtime (s),Monomer 1,Monomer 2,Oligomer Length
1.578,1.729,0.081,0.072,7,14,2
2.467,2.653,0.093,0.09,91,95,2
3.279,2.574,0.126,0.124,27,81,2
1.033,0.762,0.094,0.088,60,71,2
2.446,2.097,0.147,0.139,55,98,2
1.918,1.17,0.12,0.108,41,63,2
1.983,1.361,0.1,0.092,69,78,2
1.214,0.816,0.085,0.079,4,78,2
2.711,2.583,0.142,0.133,67,84,2
1.383,0.913,0.105,0.096,26,57,2
1.699,1.14,0.109,0.101,20,74,2
1.072,0.783,0.08,0.076,42,94,2
1.787,1.774,0.114,0.112,39,84,2
1.509,0.882,0.083,0.076,3,16,2
3.354,1.847,0.14,0.135,95,97,2
1.63,1.183,0.102,0.096,21,39,2
1.609,1.434,0.109,0.11,23,83,2
1.324,1.262,0.085,0.081,37,78,2
0.695,0.388,0.093,0.084,58,93,2
5.361,4.426,0.179,0.167,86,99,2
1.302,0.958,0.086,0.078,6,59,2
1.158,1.094,0.087,0.085,28,30,2
2.083,1.77,0.133,0.123,79,81,2
1.209,0.947,0.076,0.072,10,49,2
2.963,1.778,0.125,0.124,38,52,2
0.86,0.548,0.096,0.084,45,61,2
6.259,7.031,0.174,0.155,63,86,2
1.585,1.247,0.133,0.11,22,55,2
2.249,2.151,0.117,0.107,24,76,2
2.264,1.778,0.14,0.135,18,96,2
1.169,1.191,0.076,0.076,32,37,2
1.197,0.796,0.073,0.069,9,33,2
1.729,1.665,0.114,0.103,66,89,2
1.756,1.188,0.102,0.092,21,79,2
2.021,1.517,0.101,0.101,37,38,2
2.303,1.602,0.133,0.125,83,96,2
1.105,0.789,0.089,0.082,3,56,2
2.368,3.42,0.114,0.104,54,95,2
1.243,1.072,0.082,0.077,15,46,2
1.588,1.223,0.109,0.096,5,75,2
1.638,0.823,0.075,0.074,24,36,2
1.614,1.379,0.085,0.084,32,77,2
2.197,1.672,0.118,0.112,49,67,2
1.791,1.202,0.108,0.103,34,54,2
1.587,1.197,0.103,0.09,53,60,2
0.943,0.624,0.072,0.067,2,80,2
0.802,0.542,0.065,0.061,6,19,2
1.298,0.911,0.091,0.085,28,70,2
2.024,1.615,0.103,0.09,23,58,2
1.384,1.76,0.094,0.087,31,80,2
3.321,2.054,0.125,0.119,17,67,2
1.015,0.772,0.091,0.084,7,54,2
2.395,2.161,0.133,0.121,50,97,2
1.136,1.688,0.072,0.07,11,44,2
0.963,0.775,0.067,0.065,1,77,2
1.865,1.413,0.117,0.104,20,34,2
1.55,0.955,0.099,0.091,36,75,2
1.185,0.963,0.095,0.089,30,56,2
1.806,1.718,0.103,0.102,71,85,2
2.064,1.476,0.127,0.113,57,62,2
2.175,1.905,0.099,0.097,6,82,2
1.214,1.246,0.129,0.12,43,99,2
1.45,1.571,0.102,0.098,4,38,2
0.964,0.692,0.08,0.078,12,28,2
3.24,2.397,0.115,0.114,38,89,2
1.516,1.392,0.072,0.069,10,92,2
1.201,0.897,0.079,0.075,12,33,2
2.198,2.699,0.106,0.103,38,92,2
1.448,0.981,0.08,0.077,10,89,2
0.459,0.504,0.057,0.056,1,4,2
3.298,2.494,0.107,0.096,57,79,2
1.87,1.576,0.115,0.106,6,99,2
2.2,1.759,0.095,0.087,4,23,2
2.577,2.147,0.114,0.113,43,82,2
1.334,1.013,0.084,0.084,8,65,2
1.557,1.153,0.114,0.109,18,56,2
1.553,1.346,0.113,0.107,59,85,2
2.094,3.306,0.104,0.098,22,95,2
2.697,2.385,0.132,0.119,78,97,2
1.414,1.108,0.086,0.084,44,77,2
1.13,0.881,0.084,0.081,39,44,2
1.121,0.54,0.091,0.083,42,54,2
1.76,1.234,0.1,0.091,25,60,2
0.969,0.668,0.075,0.07,19,80,2
2.641,2.027,0.096,0.094,23,43,2
3.823,1.56,0.093,0.082,16,31,2
1.685,0.999,0.123,0.109,55,58,2
0.671,0.632,0.063,0.06,10,12,2
1.491,1.102,0.092,0.086,47,80,2
2.502,1.904,0.136,0.117,61,67,2
2.124,2.029,0.128,0.12,26,97,2
1.237,0.795,0.096,0.088,46,56,2
1.994,1.389,0.119,0.11,21,62,2
1.31,1.164,0.073,0.072,9,28,2
2.328,0.933,0.101,0.092,66,92,2
1.337,1.245,0.086,0.084,27,41,2
2.011,1.482,0.12,0.113,30,96,2
2.054,1.773,0.143,0.134,51,81,2
2.339,1.994,0.084,0.084,10,52,2
1.511,1.783,0.112,0.108,38,49,2
2.247,1.72,0.098,0.089,43,59,2
2.892,0.92,0.089,0.087,16,71,2
1.017,0.862,0.067,0.067,6,42,2
1.583,1.231,0.095,0.084,70,93,2
1.589,1.109,0.104,0.092,21,22,2
2.505,2.412,0.124,0.122,23,98,2
1.807,1.143,0.109,0.104,37,63,2
1.598,1.8,0.098,0.095,11,84,2
1.604,1.164,0.111,0.097,50,57,2
1.392,0.844,0.112,0.096,56,74,2
1.436,1.122,0.081,0.076,7,94,2
1.803,1.148,0.102,0.096,34,94,2
1.255,0.993,0.079,0.077,8,25,2
3.6,3.085,0.128,0.127,55,83,2
1.346,1.04,0.088,0.083,41,78,2
1.178,0.655,0.089,0.081,14,50,2
1.82,1.028,0.119,0.105,4,63,2
1.63,1.51,0.092,0.084,74,91,2
1.129,0.868,0.104,0.089,33,61,2
1.816,1.555,0.122,0.111,15,86,2
1.823,1.203,0.136,0.119,54,55,2
1.498,1.226,0.107,0.102,29,66,2
3.09,2.582,0.147,0.131,52,76,2
1.709,1.27,0.107,0.103,3,96,2
2.948,2.628,0.12,0.107,67,78,2
1.258,0.958,0.087,0.08,32,50,2
1.362,1.064,0.089,0.077,22,32,2
1.149,0.997,0.081,0.073,12,94,2
1.421,1.007,0.101,0.1,4,84,2
2.746,2.006,0.124,0.114,69,84,2
1.255,0.965,0.11,0.099,28,57,2
1.768,1.168,0.127,0.116,55,64,2
1.141,1.204,0.073,0.066,9,14,2
3.619,1.861,0.13,0.123,33,86,2
1.153,0.968,0.076,0.073,19,27,2
2.741,2.343,0.134,0.126,74,76,2
1.09,0.885,0.082,0.081,3,71,2
1.601,2.145,0.096,0.091,52,91,2
2.202,1.933,0.137,0.135,29,81,2
2.305,1.276,0.103,0.098,85,92,2
1.482,1.857,0.092,0.082,15,61,2
1.807,1.269,0.103,0.1,5,52,2
2.072,1.754,0.125,0.124,77,81,2
1.623,1.302,0.099,0.096,36,52,2
1.145,0.909,0.077,0.075,8,59,2
1.387,1.341,0.089,0.09,30,71,2
1.594,0.747,0.093,0.086,26,30,2
2.772,1.391,0.116,0.109,16,96,2
1.261,0.974,0.078,0.075,3,5,2
1.967,1.582,0.112,0.102,51,66,2
1.597,1.154,0.106,0.103,37,84,2
2.204,1.296,0.102,0.094,70,74,2
1.629,1.285,0.101,0.091,56,93,2
2.862,1.585,0.11,0.103,11,63,2
1.392,1.468,0.095,0.091,39,78,2
0.859,0.728,0.066,0.063,1,50,2
3.344,1.561,0.112,0.109,47,67,2
1.053,0.952,0.077,0.078,41,44,2
0.75,0.523,0.059,0.058,8,19,2
