Cation Runtime (s),Neutral Runtime (s),Cation@Neutral Runtime (s),Neutral@Cation Runtime (s),Monomer 1,Monomer 2,Oligomer Length
1.541,1.216,0.11,0.107,43,84,2
3.283,0.915,0.084,0.076,14,16,2
1.881,2.567,0.103,0.1,38,94,2
0.432,0.492,0.049,0.047,1,2,2
2.892,1.799,0.134,0.124,63,100,2
1.648,1.219,0.097,0.089,66,94,2
1.491,1.156,0.088,0.087,27,47,2
1.655,1.166,0.106,0.094,21,64,2
1.447,0.848,0.096,0.084,46,50,2
1.354,1.191,0.081,0.074,26,91,2
1.824,1.135,0.106,0.102,34,49,2
2.644,2.557,0.126,0.127,47,86,2
1.12,0.538,0.069,0.062,10,14,2
2.597,1.899,0.08,0.08,16,37,2
1.587,1.336,0.107,0.108,56,72,2
1.21,0.9,0.086,0.085,5,28,2
2.274,1.033,0.087,0.087,42,89,2
1.375,0.954,0.084,0.078,7,92,2
2.068,1.469,0.102,0.102,11,82,2
2.529,2.277,0.125,0.121,39,99,2
1.627,1.833,0.105,0.095,50,51,2
1.735,1.274,0.095,0.084,21,24,2
1.9,1.359,0.096,0.092,37,65,2
1.672,1.076,0.095,0.086,31,46,2
1.958,1.902,0.102,0.097,70,95,2
1.623,1.823,0.12,0.114,85,100,2
1.122,0.98,0.07,0.069,6,44,2
2.378,0.988,0.094,0.087,16,77,2
0.973,0.647,0.077,0.073,10,54,2
1.854,1.566,0.114,0.101,52,70,2
0.977,0.607,0.062,0.063,11,19,2
1.553,0.776,0.083,0.076,15,80,2
1.911,1.704,0.103,0.092,29,60,2
2.74,2.38,0.097,0.092,25,26,2
2.316,1.133,0.117,0.105,33,67,2
4.404,2.179,0.119,0.113,75,100,2
3.027,2.363,0.134,0.129,74,97,2
4.152,3.091,0.16,0.159,82,86,2
0.911,0.766,0.071,0.066,2,46,2
1.325,1.118,0.096,0.088,12,75,2
3.137,3.37,0.13,0.129,55,85,2
2.044,0.939,0.096,0.093,4,65,2
0.863,0.764,0.091,0.081,14,56,2
4.157,2.361,0.156,0.149,67,99,2
1.455,3.187,0.082,0.08,8,23,2
1.859,1.479,0.11,0.097,20,69,2
2.543,2.18,0.104,0.098,34,92,2
1.544,1.34,0.101,0.096,22,85,2
3.038,2.501,0.126,0.111,65,75,2
1.63,1.164,0.112,0.105,18,46,2
0.838,0.856,0.088,0.081,8,75,2
3.173,4.93,0.109,0.103,59,95,2
2.023,1.625,0.114,0.104,57,69,2
1.368,0.696,0.083,0.074,4,33,2
2.037,0.852,0.089,0.086,43,92,2
1.492,1.195,0.085,0.082,6,89,2
0.4,0.399,0.054,0.053,2,10,2
1.88,3.512,0.135,0.134,38,82,2
1.648,1.371,0.106,0.1,10,99,2
2.543,1.62,0.092,0.085,12,23,2
2.125,3.162,0.11,0.101,62,80,2
1.384,1.117,0.121,0.102,23,53,2
1.648,1.319,0.102,0.09,25,70,2
0.416,0.317,0.072,0.073,42,44,2
1.399,0.934,0.093,0.091,29,36,2
1.787,0.978,0.093,0.094,39,54,2
3.032,1.461,0.106,0.101,44,67,2
1.478,1.298,0.11,0.097,61,77,2
0.953,0.849,0.067,0.064,6,12,2
2.629,1.166,0.101,0.091,16,21,2
1.357,1.117,0.091,0.088,9,38,2
2.052,1.854,0.128,0.12,66,82,2
1.756,1.425,0.112,0.103,72,79,2
1.599,1.196,0.103,0.097,27,51,2
1.67,1.291,0.121,0.109,21,72,2
2.214,2.07,0.094,0.089,6,52,2
2.037,0.97,0.092,0.087,43,49,2
1.45,1.552,0.103,0.09,16,61,2
1.835,1.533,0.13,0.127,86,92,2
1.605,1.855,0.092,0.086,51,91,2
0.86,0.816,0.064,0.063,10,42,2
0.697,0.683,0.114,0.108,38,59,2
2.315,1.531,0.132,0.126,30,86,2
1.303,0.978,0.098,0.09,56,64,2
1.296,0.939,0.101,0.101,7,84,2
1.416,0.93,0.079,0.075,11,94,2
1.424,1.004,0.098,0.087,21,32,2
1.668,2.115,0.097,0.089,64,78,2
1.455,1.029,0.094,0.085,31,50,2
1.159,1.209,0.075,0.072,9,78,2
1.333,0.885,0.098,0.09,4,100,2
1.114,0.713,0.11,0.104,58,98,2
1.831,1.714,0.1,0.096,70,83,2
0.838,0.5,0.074,0.068,2,50,2
1.734,1.29,0.109,0.102,12,63,2
2.984,2.343,0.129,0.115,55,93,2
2.383,1.643,0.129,0.121,34,84,2
1.576,1.415,0.12,0.112,52,66,2
2.544,2.16,0.12,0.114,3,86,2
1.862,1.849,0.103,0.099,15,96,2
3.096,2.567,0.144,0.126,29,76,2
1.572,1.793,0.104,0.093,25,30,2
1.433,0.886,0.092,0.085,33,71,2
3.053,2.722,0.132,0.129,74,81,2
1.525,1.17,0.109,0.092,60,61,2
1.395,1.257,0.082,0.077,27,91,2
2.005,1.63,0.093,0.09,17,37,2
2.926,2.214,0.13,0.125,46,86,2
1.212,1.295,0.067,0.065,1,27,2
0.963,0.906,0.078,0.07,11,14,2
1.679,1.023,0.103,0.095,20,64,2
2.477,1.601,0.118,0.105,67,94,2
1.124,0.844,0.087,0.084,26,47,2
1.323,1.794,0.081,0.079,12,78,2
1.265,0.891,0.091,0.085,47,50,2
0.866,0.564,0.081,0.072,19,50,2
2.03,1.403,0.101,0.094,9,63,2
1.731,2.221,0.093,0.095,58,83,2
1.858,1.56,0.118,0.104,70,98,2
2.168,1.366,0.109,0.096,23,93,2
3.104,2.149,0.111,0.103,21,29,2
1.279,0.791,0.092,0.086,39,94,2
1.386,1.114,0.1,0.098,42,84,2
2.288,1.834,0.093,0.089,5,25,2
1.741,1.57,0.079,0.072,15,16,2
1.518,1.353,0.093,0.086,24,66,2
4.285,3.736,0.154,0.147,18,86,2
2.833,2.154,0.15,0.139,63,96,2
1.413,1.069,0.084,0.074,22,45,2
1.526,1.649,0.083,0.076,79,91,2
1.149,0.897,0.08,0.073,10,59,2
0.771,0.616,0.079,0.079,45,71,2
2.409,1.547,0.096,0.094,38,42,2
1.239,1.023,0.079,0.077,6,49,2
2.705,2.771,0.11,0.103,43,52,2
3.402,2.65,0.141,0.136,86,89,2
1.371,1.257,0.108,0.103,54,85,2
1.339,0.615,0.103,0.098,5,65,2
0.696,0.994,0.085,0.076,15,56,2
1.294,0.916,0.084,0.077,3,46,2
4.07,3.198,0.138,0.14,83,86,2
2.024,1.7,0.11,0.095,21,69,2
1.295,2.406,0.086,0.081,9,23,2
3.399,2.808,0.147,0.129,66,99,2
1.235,0.868,0.09,0.081,14,80,2
1.778,1.659,0.092,0.085,28,60,2
1.881,1.227,0.104,0.091,53,70,2
0.735,0.553,0.058,0.057,10,19,2
1.633,0.963,0.098,0.092,34,44,2
1.492,1.084,0.093,0.091,49,77,2
2.397,2.095,0.145,0.137,75,97,2
1.66,1.52,0.084,0.08,24,26,2
4.705,1.494,0.11,0.102,32,67,2
2.09,2.423,0.088,0.081,1,67,2
1.098,0.698,0.088,0.08,11,54,2
1.532,1.278,0.077,0.073,7,44,2
1.426,1.284,0.1,0.102,17,77,2
3.886,2.709,0.152,0.143,38,99,2
1.567,1.311,0.093,0.091,10,82,2
1.434,1.21,0.102,0.095,12,38,2
1.854,1.582,0.128,0.118,57,72,2
3.462,1.096,0.099,0.095,43,89,2
1.304,0.78,0.077,0.079,4,28,2
1.883,1.782,0.076,0.073,6,92,2
1.813,1.147,0.092,0.087,30,46,2
1.657,2.383,0.104,0.105,71,95,2
1.327,0.981,0.093,0.085,20,24,2
1.797,1.212,0.093,0.092,36,65,2
0.874,0.821,0.066,0.065,10,37,2
1.495,1.058,0.077,0.076,6,27,2
2.261,1.274,0.125,0.123,41,86,2
1.717,1.042,0.09,0.084,32,49,2
1.447,1.016,0.106,0.094,49,59,2
1.42,0.993,0.087,0.082,20,91,2
2.667,1.735,0.13,0.12,29,98,2
1.798,0.74,0.08,0.074,15,78,2
1.441,0.981,0.097,0.089,27,64,2
1.553,1.081,0.096,0.095,21,47,2
1.319,1.07,0.091,0.083,60,94,2
1.413,0.709,0.074,0.072,2,25,2
1.636,1.026,0.099,0.097,45,84,2
1.541,1.093,0.08,0.075,12,16,2
1.967,1.417,0.116,0.11,77,98,2
2.183,1.206,0.089,0.081,24,93,2
3.179,2.411,0.097,0.095,26,29,2
0.479,0.328,0.081,0.081,42,71,2
1.733,1.541,0.114,0.099,17,59,2
0.985,0.745,0.068,0.068,1,49,2
1.505,1.043,0.11,0.095,39,61,2
2.02,1.572,0.102,0.098,44,52,2
3.811,3.512,0.136,0.131,81,89,2
2.068,5.221,0.107,0.103,23,66,2
2.45,2.07,0.114,0.108,58,76,2
1.448,1.451,0.084,0.082,25,45,2
2.075,1.678,0.097,0.095,9,96,2
2.143,1.623,0.122,0.116,64,96,2
1.65,1.603,0.108,0.103,18,33,2
1.755,1.672,0.087,0.079,32,92,2
4.539,1.633,0.097,0.092,26,69,2
1.154,0.896,0.152,0.127,61,99,2
2.085,1.536,0.116,0.116,49,82,2
1.328,0.862,0.083,0.078,2,65,2
1.16,0.911,0.081,0.078,12,56,2
1.884,1.69,0.118,0.103,53,85,2
2.705,3.905,0.102,0.099,28,95,2
1.574,0.783,0.085,0.08,4,46,2
1.996,0.889,0.102,0.091,14,75,2
2.292,1.886,0.153,0.152,84,86,2
3.601,2.678,0.152,0.139,72,97,2
1.017,0.795,0.085,0.078,33,44,2
2.254,1.323,0.104,0.094,23,26,2
3.16,1.34,0.123,0.11,52,53,2
1.173,0.925,0.086,0.081,17,19,2
2.137,2.744,0.098,0.096,29,43,2
1.247,1.048,0.098,0.09,54,70,2
1.547,1.37,0.098,0.093,6,67,2
0.97,0.837,0.097,0.087,16,54,2
0.897,0.614,0.066,0.063,4,8,2
3.226,2.19,0.115,0.107,80,84,2
1.062,0.931,0.074,0.07,10,77,2
4.987,5.771,0.137,0.13,76,95,2
1.206,0.888,0.082,0.082,37,46,2
1.884,1.413,0.105,0.096,31,65,2
3.436,1.88,0.127,0.124,17,82,2
1.498,1.195,0.097,0.093,15,38,2
1.311,1.022,0.078,0.077,3,28,2
1.747,0.979,0.089,0.089,44,89,2
0.904,0.532,0.064,0.062,1,92,2
1.644,1.979,0.114,0.106,50,72,2
1.285,1.387,0.08,0.079,44,92,2
1.324,0.883,0.084,0.077,3,33,2
1.8,2.425,0.072,0.071,1,89,2
1.854,1.428,0.107,0.091,50,69,2
2.161,1.935,0.158,0.132,17,99,2
1.147,0.698,0.071,0.067,5,10,2
1.169,0.63,0.09,0.084,15,23,2
1.357,0.792,0.089,0.082,19,65,2
1.069,0.809,0.078,0.074,9,56,2
2.326,1.758,0.13,0.123,89,96,2
2.946,2.761,0.107,0.105,25,85,2
2.297,1.625,0.124,0.115,62,75,2
2.195,2.204,0.128,0.117,72,100,2
1.613,1.073,0.109,0.109,38,77,2
5.176,1.464,0.115,0.11,43,67,2
1.298,1.056,0.095,0.086,24,53,2
1.19,1.035,0.101,0.09,59,60,2
1.059,0.836,0.076,0.071,8,80,2
2.385,2.33,0.109,0.1,65,80,2
1.444,1.062,0.092,0.084,22,70,2
1.349,1.361,0.085,0.079,7,31,2
1.51,0.648,0.104,0.091,29,58,2
0.486,0.499,0.058,0.054,1,12,2
1.808,1.579,0.086,0.086,11,21,2
1.53,1.439,0.101,0.095,66,77,2
3.913,2.224,0.133,0.129,82,100,2
1.531,0.913,0.085,0.083,41,46,2
2.391,1.42,0.102,0.099,47,65,2
1.785,1.376,0.114,0.103,20,51,2
2.528,1.993,0.113,0.098,75,79,2
2.348,1.822,0.157,0.124,61,82,2
2.42,1.742,0.133,0.124,49,99,2
1.223,0.838,0.087,0.084,30,33,2
2.057,1.522,0.107,0.107,18,28,2
3.387,1.233,0.093,0.09,32,89,2
3.06,1.865,0.11,0.103,26,72,2
2.139,2.123,0.122,0.112,70,76,2
1.878,1.293,0.122,0.12,37,86,2
1.229,1.097,0.081,0.078,1,52,2
2.467,1.431,0.097,0.086,11,61,2
2.053,1.758,0.085,0.083,44,49,2
2.379,1.621,0.127,0.122,81,92,2
1.85,1.29,0.084,0.084,7,71,2
1.535,0.972,0.091,0.087,17,42,2
1.129,1.014,0.082,0.078,56,91,2
1.07,0.846,0.084,0.078,26,32,2
1.483,2.246,0.102,0.1,77,83,2
1.258,0.86,0.084,0.08,36,50,2
3.313,3.425,0.12,0.112,63,78,2
1.071,0.79,0.076,0.071,3,7,2
4.144,2.63,0.108,0.099,51,64,2
4.168,0.545,0.091,0.08,16,94,2
1.619,1.63,0.106,0.101,64,100,2
1.324,1.226,0.08,0.076,19,25,2
1.48,0.974,0.107,0.104,33,84,2
1.41,1.061,0.075,0.069,9,16,2
3.113,2.269,0.117,0.111,17,100,2
1.763,1.382,0.111,0.108,29,83,2
1.949,0.492,0.096,0.085,5,50,2
1.741,2.278,0.107,0.097,15,63,2
2.741,2.561,0.121,0.104,52,93,2
1.557,1.083,0.104,0.1,34,71,2
1.383,0.969,0.094,0.084,22,30,2
2.228,1.773,0.103,0.096,32,52,2
3.936,2.404,0.144,0.13,69,86,2
1.855,1.553,0.123,0.114,4,86,2
2.282,2.44,0.127,0.121,55,66,2
2.684,2.065,0.123,0.116,28,55,2
1.568,1.146,0.101,0.093,94,100,2
1.937,1.679,0.109,0.099,12,96,2
1.084,0.747,0.078,0.076,4,5,2
1.892,2.6,0.105,0.094,80,89,2
2.233,2.192,0.101,0.092,45,52,2
1.028,0.713,0.125,0.114,38,61,2
0.957,0.718,0.099,0.087,16,59,2
0.933,0.703,0.09,0.09,43,71,2
1.502,0.853,0.074,0.073,24,45,2
3.01,2.265,0.131,0.122,59,76,2
1.667,1.736,0.101,0.094,8,96,2
2.494,2.081,0.138,0.127,65,96,2
2.445,1.285,0.096,0.089,22,66,2
1.419,1.129,0.102,0.102,44,84,2
1.773,1.59,0.088,0.083,3,25,2
2.785,2.19,0.102,0.092,25,93,2
4.199,2.757,0.1,0.096,27,29,2
3.96,3.685,0.149,0.141,76,98,2
2.726,2.212,0.14,0.128,62,63,2
3.178,2.609,0.116,0.109,28,98,2
1.344,0.994,0.095,0.091,3,100,2
3.123,0.771,0.09,0.08,14,78,2
1.434,0.838,0.092,0.082,41,50,2
1.483,1.159,0.093,0.093,20,47,2
2.013,1.197,0.104,0.091,61,94,2
1.336,0.707,0.091,0.086,26,64,2
1.546,1.126,0.083,0.082,7,27,2
1.209,1.478,0.074,0.073,11,37,2
1.451,1.004,0.09,0.083,21,91,2
1.638,0.867,0.092,0.087,33,49,2
1.065,0.824,0.105,0.097,30,65,2
2.702,2.937,0.105,0.103,77,95,2
1.245,0.87,0.083,0.079,36,46,2
2.037,1.751,0.087,0.085,45,89,2
1.004,0.685,0.068,0.069,2,28,2
1.844,2.2,0.127,0.114,51,72,2
2.265,2.352,0.111,0.111,16,82,2
2.058,1.803,0.1,0.1,14,38,2
0.797,0.717,0.058,0.058,1,44,2
1.511,1.72,0.081,0.08,11,77,2
2.623,2.116,0.152,0.146,81,84,2
1.977,1.503,0.103,0.099,7,67,2
1.863,0.992,0.112,0.1,17,54,2
3.018,1.945,0.138,0.119,34,67,2
1.76,1.109,0.098,0.096,49,54,2
1.457,1.343,0.088,0.084,22,26,2
0.815,0.654,0.079,0.074,32,44,2
0.808,0.713,0.073,0.068,16,19,2
3.401,2.684,0.128,0.112,55,70,2
1.534,1.425,0.089,0.087,28,43,2
1.338,1.671,0.083,0.078,12,80,2
1.399,0.892,0.135,0.121,60,99,2
1.07,1.119,0.07,0.068,19,33,2
1.211,0.746,0.089,0.083,33,92,2
2.202,2.081,0.099,0.093,27,69,2
2.083,2.407,0.112,0.109,29,95,2
2.102,1.657,0.139,0.138,85,86,2
2.317,1.117,0.088,0.084,5,46,2
1.305,1.018,0.093,0.086,15,75,2
1.55,1.031,0.095,0.089,3,65,2
1.742,1.901,0.121,0.117,52,85,2
1.973,1.332,0.108,0.097,46,65,2
1.07,0.754,0.071,0.071,19,28,2
1.299,1.099,0.091,0.083,31,33,2
1.611,0.95,0.097,0.092,33,89,2
3.205,2.663,0.116,0.105,27,72,2
2.744,1.6,0.105,0.093,74,79,2
1.935,1.283,0.115,0.106,21,51,2
2.054,1.772,0.117,0.112,60,82,2
1.009,0.698,0.083,0.073,10,21,2
1.216,0.979,0.079,0.073,6,31,2
0.984,0.749,0.089,0.083,28,58,2
2.302,2.237,0.119,0.112,67,77,2
2.914,1.426,0.105,0.1,42,67,2
1.345,1.078,0.091,0.092,39,77,2
1.333,1.157,0.107,0.095,23,70,2
0.773,0.774,0.089,0.082,58,60,2
2.088,1.793,0.111,0.098,25,53,2
1.171,0.905,0.075,0.074,9,80,2
1.733,2.102,0.099,0.09,64,80,2
0.836,0.569,0.064,0.062,4,10,2
2.757,1.413,0.132,0.117,16,99,2
6.248,2.088,0.102,0.088,14,23,2
0.954,1.238,0.069,0.066,2,33,2
1.454,0.796,0.081,0.078,45,92,2
2.469,2.26,0.113,0.102,51,69,2
2.48,2.018,0.146,0.124,63,75,2
1.892,1.472,0.125,0.121,18,65,2
0.988,0.621,0.076,0.074,8,56,2
1.633,1.122,0.099,0.094,24,85,2
2.651,2.017,0.153,0.139,72,81,2
1.471,1.092,0.102,0.099,33,52,2
1.135,1.055,0.1,0.097,23,30,2
2.354,1.359,0.134,0.123,5,86,2
2.476,2.845,0.145,0.125,29,55,2
1.444,1.162,0.102,0.099,54,66,2
2.969,2.12,0.115,0.114,18,25,2
1.533,1.283,0.075,0.069,8,16,2
1.532,1.117,0.104,0.101,32,84,2
1.25,0.881,0.091,0.087,49,94,2
1.73,1.605,0.109,0.093,53,93,2
1.39,1.609,0.1,0.097,28,83,2
1.189,0.691,0.084,0.08,4,50,2
1.876,1.488,0.12,0.105,14,63,2
2.569,2.606,0.129,0.127,76,83,2
2.517,3.196,0.106,0.099,62,78,2
1.33,0.849,0.086,0.081,37,50,2
1.901,0.958,0.089,0.082,27,32,2
1.055,1.406,0.098,0.092,17,94,2
1.225,0.89,0.084,0.083,1,84,2
2.266,2.597,0.099,0.089,50,64,2
2.91,2.546,0.119,0.119,36,86,2
2.319,2.806,0.12,0.128,71,76,2
1.732,1.813,0.076,0.077,6,71,2
1.125,0.841,0.08,0.076,16,42,2
1.483,1.308,0.096,0.087,57,91,2
1.965,1.039,0.093,0.084,80,92,2
2.022,1.025,0.082,0.079,45,49,2
1.073,0.817,0.084,0.077,10,61,2
0.982,0.684,0.1,0.084,14,54,2
1.814,1.117,0.107,0.1,4,67,2
2.447,2.228,0.139,0.138,82,84,2
1.266,1.041,0.08,0.08,12,77,2
0.685,0.711,0.064,0.062,2,44,2
1.016,0.828,0.084,0.077,8,21,2
1.605,1.209,0.123,0.119,17,38,2
1.955,1.533,0.102,0.097,15,82,2
1.668,1.404,0.124,0.112,29,62,2
1.904,2.348,0.126,0.119,52,72,2
1.564,0.819,0.083,0.076,3,92,2
2.529,1.356,0.101,0.094,46,89,2
0.908,0.685,0.065,0.063,1,28,2
3.405,2.595,0.119,0.109,74,95,2
3.077,2.78,0.101,0.095,33,65,2
1.845,2.05,0.118,0.111,51,85,2
0.979,0.675,0.074,0.072,10,56,2
1.838,1.812,0.105,0.096,16,75,2
1.552,0.963,0.077,0.074,6,46,2
1.925,1.648,0.096,0.084,24,69,2
2.754,2.351,0.122,0.116,18,89,2
1.834,1.886,0.092,0.086,30,92,2
3.561,3.244,0.17,0.146,63,99,2
1.199,1.087,0.082,0.077,11,80,2
1.907,1.167,0.101,0.09,50,53,2
1.138,1.025,0.093,0.088,56,70,2
1.038,0.444,0.068,0.061,15,19,2
1.434,2.057,0.083,0.08,31,44,2
2.897,2.38,0.129,0.115,70,97,2
2.285,1.761,0.1,0.091,21,26,2
1.995,1.335,0.11,0.104,37,67,2
2.458,1.594,0.142,0.121,61,63,2
1.339,1.004,0.095,0.09,49,78,2
2.836,2.029,0.134,0.122,75,98,2
2.255,1.812,0.095,0.088,24,29,2
1.741,1.654,0.092,0.088,26,93,2
1.285,0.794,0.074,0.067,10,16,2
1.586,1.189,0.108,0.11,47,84,2
1.364,1.068,0.109,0.098,21,66,2
3.186,2.469,0.133,0.121,66,96,2
1.212,1.032,0.08,0.079,27,45,2
1.932,1.187,0.086,0.08,15,59,2
3.632,3.147,0.111,0.1,46,52,2
1.175,0.944,0.087,0.083,3,49,2
2.076,2.235,0.114,0.108,83,89,2
1.158,0.589,0.087,0.078,8,61,2
1.805,1.107,0.093,0.089,30,49,2
3.45,3.037,0.131,0.125,18,52,2
3.203,2.746,0.138,0.127,59,81,2
1.443,1.161,0.078,0.073,22,91,2
1.052,1.016,0.074,0.074,12,37,2
3.281,2.327,0.141,0.132,38,96,2
3.329,2.605,0.128,0.125,43,86,2
1.231,0.734,0.084,0.081,4,27,2
2.361,1.12,0.1,0.095,25,64,2
1.272,0.914,0.093,0.09,19,84,2
1.969,1.462,0.103,0.099,62,94,2
2.62,1.393,0.095,0.095,23,47,2
1.569,1.582,0.093,0.088,78,93,2
1.708,1.43,0.105,0.097,17,78,2
1.127,0.779,0.085,0.078,42,50,2
1.994,1.461,0.141,0.122,17,63,2
1.061,0.768,0.088,0.079,7,50,2
2.209,2.762,0.098,0.097,29,39,2
2.593,1.931,0.101,0.087,50,93,2
1.832,1.403,0.115,0.108,31,84,2
1.536,1.095,0.112,0.107,57,66,2
2.827,1.93,0.115,0.11,6,86,2
1.504,1.198,0.096,0.091,10,96,2
1.397,1.052,0.102,0.092,20,30,2
1.177,0.86,0.087,0.082,36,71,2
2.597,2.411,0.105,0.102,30,52,2
1.897,1.881,0.114,0.111,18,49,2
1.874,1.549,0.132,0.126,71,81,2
2.436,0.948,0.093,0.088,46,49,2
3.265,3.161,0.098,0.096,3,52,2
2.229,1.044,0.102,0.096,83,92,2
1.165,1.143,0.089,0.08,54,91,2
1.118,1.009,0.074,0.068,15,42,2
1.237,0.975,0.087,0.087,5,71,2
1.223,0.968,0.069,0.068,9,37,2
5.31,3.472,0.145,0.137,72,76,2
1.784,1.179,0.106,0.095,53,64,2
1.154,1.035,0.087,0.086,2,84,2
1.755,0.909,0.082,0.077,14,94,2
1.409,0.841,0.104,0.094,28,74,2
1.553,0.768,0.08,0.074,24,32,2
0.749,0.59,0.107,0.095,61,78,2
2.332,1.629,0.13,0.114,49,63,2
1.632,1.229,0.104,0.098,34,50,2
1.759,2.431,0.119,0.11,75,83,2
1.638,1.296,0.075,0.073,9,77,2
1.864,1.999,0.094,0.093,64,77,2
0.695,0.669,0.068,0.067,19,44,2
1.728,1.302,0.118,0.114,58,97,2
1.451,1.346,0.091,0.084,5,31,2
0.959,0.797,0.074,0.07,3,12,2
1.7,1.756,0.092,0.087,39,80,2
3.243,2.557,0.158,0.142,63,82,2
1.574,1.483,0.095,0.087,77,79,2
1.887,1.345,0.099,0.093,22,51,2
1.599,1.189,0.107,0.098,24,72,2
2.035,1.781,0.106,0.105,18,92,2
1.606,0.698,0.101,0.097,30,89,2
1.297,1.902,0.08,0.077,32,33,2
1.496,0.954,0.092,0.087,43,46,2
2.89,2.235,0.106,0.096,28,34,2
1.896,1.617,0.103,0.098,79,85,2
2.874,1.691,0.107,0.107,38,56,2
1.958,1.245,0.094,0.087,45,65,2
1.655,1.233,0.106,0.101,27,85,2
1.58,1.361,0.108,0.096,60,75,2
2.71,2.365,0.122,0.108,52,69,2
1.282,1.015,0.092,0.088,3,89,2
0.907,0.547,0.066,0.061,1,33,2
1.647,0.882,0.089,0.084,46,92,2
1.486,1.1,0.12,0.109,17,23,2
1.257,0.969,0.063,0.062,7,10,2
1.725,1.629,0.117,0.108,15,99,2
1.688,1.168,0.108,0.094,29,79,2
3.066,2.651,0.121,0.107,67,80,2
1.811,1.043,0.101,0.09,26,53,2
1.309,0.948,0.101,0.09,20,70,2
1.965,1.033,0.086,0.083,8,100,2
2.154,1.371,0.109,0.105,41,67,2
1.43,1.171,0.105,0.098,57,70,2
1.049,0.521,0.073,0.067,14,19,2
1.093,0.925,0.076,0.068,10,80,2
2.968,1.437,0.109,0.101,51,53,2
2.044,1.79,0.099,0.092,20,26,2
1.946,1.301,0.106,0.101,36,67,2
1.52,1.004,0.085,0.081,30,44,2
2.717,2.338,0.135,0.126,71,97,2
1.711,1.984,0.116,0.108,17,75,2
1.552,1.232,0.083,0.079,7,46,2
1.448,1.443,0.107,0.096,50,85,2
1.109,0.725,0.082,0.082,11,56,2
1.057,0.918,0.078,0.075,1,65,2
3.219,2.875,0.148,0.135,62,99,2
1.961,1.826,0.106,0.098,25,69,2
1.982,1.91,0.09,0.086,31,92,2
2.226,0.8,0.083,0.078,19,89,2
1.828,2.244,0.114,0.113,53,72,2
0.744,0.44,0.07,0.066,2,92,2
2.343,1.494,0.096,0.095,47,89,2
5.351,0.976,0.111,0.103,16,38,2
3.173,3.393,0.107,0.106,14,82,2
1.795,1.662,0.106,0.1,28,62,2
2.566,2.159,0.101,0.089,32,65,2
1.501,1.245,0.112,0.102,49,75,2
2.344,1.161,0.108,0.098,34,46,2
3.432,1.41,0.121,0.111,75,95,2
1.041,0.881,0.074,0.074,3,44,2
2.04,2.314,0.123,0.121,83,84,2
0.72,0.681,0.089,0.078,15,54,2
2.443,1.261,0.115,0.106,5,67,2
1.445,1.16,0.085,0.077,9,21,2
2.507,1.565,0.125,0.107,63,94,2
1.579,1.125,0.086,0.084,22,47,2
1.533,0.967,0.085,0.082,24,64,2
2.061,1.518,0.109,0.098,79,100,2
2.456,1.294,0.135,0.129,18,84,2
1.351,0.97,0.093,0.085,43,50,2
1.876,1.873,0.091,0.083,16,78,2
2.477,2.036,0.096,0.087,79,93,2
0.478,0.455,0.061,0.059,2,3,2
2.289,1.397,0.09,0.085,23,91,2
1.597,1.142,0.088,0.08,9,61,2
1.952,1.953,0.095,0.087,19,52,2
1.436,1.123,0.098,0.09,31,49,2
2.977,2.82,0.121,0.117,58,81,2
2.31,1.75,0.087,0.084,5,27,2
2.457,1.81,0.117,0.118,42,86,2
3.037,1.944,0.118,0.114,39,96,2
3.899,3.597,0.148,0.138,67,96,2
1.051,0.782,0.08,0.077,26,45,2
1.415,1.028,0.107,0.1,20,66,2
1.905,1.654,0.114,0.108,89,100,2
2.403,2.087,0.125,0.123,82,89,2
2.862,2.551,0.105,0.102,47,52,2
0.939,0.653,0.074,0.07,2,49,2
1.198,0.839,0.088,0.085,41,71,2
1.141,0.896,0.094,0.086,14,59,2
3.007,2.271,0.106,0.101,25,29,2
1.954,1.734,0.099,0.089,27,93,2
1.934,1.463,0.121,0.112,60,63,2
1.856,1.617,0.125,0.117,74,98,2
1.731,1.391,0.08,0.072,11,16,2
1.156,0.719,0.072,0.068,1,25,2
1.564,1.041,0.111,0.106,46,84,2
1.1,0.795,0.079,0.071,15,94,2
2.189,1.912,0.117,0.104,29,74,2
2.912,2.165,0.112,0.104,52,64,2
1.428,1.105,0.104,0.099,3,84,2
0.599,0.527,0.097,0.084,60,78,2
2.841,2.567,0.113,0.106,74,83,2
1.456,1.14,0.093,0.083,25,32,2
1.809,1.333,0.103,0.098,43,100,2
2.454,2.057,0.105,0.102,55,91,2
1.891,1.972,0.107,0.095,69,71,2
1.019,0.624,0.079,0.074,14,42,2
0.974,0.759,0.082,0.082,4,71,2
2.906,1.376,0.113,0.111,82,92,2
1.365,1.071,0.095,0.088,12,61,2
2.275,1.035,0.09,0.088,47,49,2
1.904,1.838,0.085,0.081,2,52,2
5.585,2.384,0.148,0.139,34,86,2
0.86,0.695,0.068,0.066,8,37,2
2.461,2.41,0.107,0.1,11,96,2
1.365,1.171,0.1,0.095,56,66,2
2.559,2.827,0.125,0.116,7,86,2
1.304,1.076,0.103,0.1,30,100,2
1.036,0.697,0.076,0.075,19,49,2
2.062,2.776,0.111,0.103,31,52,2
2.873,2.624,0.126,0.123,70,81,2
1.949,1.148,0.102,0.093,21,30,2
1.168,0.841,0.088,0.084,37,71,2
