Cation Runtime (min),Neutral Runtime (min),Cation@Neutral Runtime (min),Neutral@Cation Runtime (min),Monomer 1,Monomer 2,Oligomer Length
1280.0,936.0,57.0,28.0,144,156,6
6430.0,3223.0,188.0,113.0,110,213,6
2217.0,1159.0,207.0,39.0,110,290,6
1779.0,961.0,110.0,27.0,66,219,6
4910.0,2449.0,148.0,131.0,207,213,6
1976.0,1657.0,73.0,30.0,230,254,6
3230.0,2215.0,91.0,38.0,106,157,6
1294.0,754.0,94.0,48.0,41,110,6
1055.0,625.0,54.0,19.0,135,176,6
1662.0,1047.0,91.0,33.0,179,280,6
5297.0,2049.0,129.0,52.0,110,305,6
1066.0,1202.0,77.0,24.0,114,306,6
4641.0,2899.0,418.0,73.0,171,213,6
2761.0,2553.0,103.0,119.0,154,213,6
4644.0,2116.0,87.0,32.0,194,274,6
950.0,538.0,48.0,20.0,20,293,6
4347.0,3201.0,114.0,48.0,110,190,6
2078.0,1052.0,113.0,58.0,213,282,6
1905.0,1613.0,111.0,54.0,18,213,6
9341.0,2461.0,352.0,46.0,263,269,6
1927.0,1500.0,99.0,51.0,110,222,6
2002.0,1122.0,82.0,36.0,143,238,6
2878.0,6798.0,132.0,61.0,110,218,6
3623.0,1457.0,102.0,38.0,81,277,6
1020.0,652.0,56.0,21.0,60,231,6
1415.0,861.0,46.0,20.0,38,309,6
1506.0,777.0,49.0,58.0,145,298,6
4933.0,2462.0,152.0,32.0,190,301,6
3401.0,3210.0,81.0,32.0,99,227,6
863.0,7872.0,164.0,74.0,110,288,6
1329.0,950.0,85.0,20.0,67,249,6
2992.0,1489.0,139.0,63.0,106,110,6
3996.0,2470.0,42.0,18.0,27,170,6
8340.0,425.0,19.0,9.0,8,173,6
2474.0,2071.0,82.0,39.0,206,230,6
3913.0,1919.0,119.0,52.0,105,213,6
1501.0,927.0,56.0,26.0,229,234,6
1745.0,821.0,36.0,18.0,92,229,6
2857.0,6648.0,157.0,38.0,107,299,6
1732.0,829.0,93.0,51.0,36,213,6
2451.0,1611.0,125.0,61.0,212,213,6
2416.0,1780.0,66.0,30.0,178,311,6
1519.0,606.0,54.0,23.0,147,161,6
2420.0,1326.0,76.0,32.0,227,240,6
676.0,409.0,39.0,17.0,66,164,6
2162.0,1464.0,126.0,122.0,96,110,6
2365.0,1812.0,101.0,37.0,32,110,6
25349.0,1045.0,53.0,19.0,91,285,6
3191.0,556.0,40.0,24.0,44,172,6
1071.0,591.0,51.0,22.0,170,248,6
3901.0,1565.0,125.0,70.0,82,213,6
3059.0,1397.0,41.0,17.0,46,204,6
2827.0,1170.0,102.0,44.0,26,213,6
1368.0,814.0,61.0,32.0,240,304,6
3935.0,2456.0,132.0,66.0,110,262,6
670.0,375.0,31.0,15.0,1,154,6
1789.0,950.0,105.0,83.0,213,232,6
4261.0,2015.0,120.0,63.0,213,241,6
3610.0,2527.0,109.0,51.0,193,213,6
2866.0,1821.0,117.0,115.0,137,213,6
2240.0,1407.0,125.0,33.0,220,247,6
4411.0,5230.0,148.0,79.0,110,245,6
2383.0,876.0,69.0,23.0,61,163,6
4718.0,2559.0,142.0,59.0,86,110,6
5446.0,2917.0,140.0,70.0,213,239,6
4616.0,2874.0,153.0,77.0,110,269,6
6188.0,2121.0,89.0,35.0,85,118,6
2024.0,937.0,89.0,43.0,110,111,6
565.0,427.0,32.0,15.0,36,46,6
493.0,381.0,33.0,14.0,49,70,6
2083.0,997.0,53.0,19.0,17,84,6
613.0,304.0,38.0,15.0,5,18,6
412.0,330.0,29.0,10.0,20,64,6
1710.0,671.0,22.0,23.0,8,45,6
