Monomer 1,Monomer 2,Neutral Angle,Cation Angle,Neutral Bond Length,Cation Bond Length,Trained λ
47,283,179.24736304348946,179.32940128506638,1.3877171453821149,1.382228654862217,0.11901962128671585
47,47,179.30774296959382,179.3707789268139,1.3814567335269552,1.3776433736038745,0.11956831573712406
47,161,178.40866683444102,178.37268225515396,1.3884998065866767,1.38249802718189,0.12412190156435826
47,258,178.9351020132405,178.00429507954868,1.3822317511865967,1.3777416082109448,0.12508986495173302
47,236,179.3380830162769,179.14197213491752,1.3905749011327355,1.3846210072597558,0.12636670613166642
47,261,179.3496618705262,179.320336571829,1.3901395316521308,1.384525634681229,0.12694129085284658
47,158,179.4582151687595,179.8576316341934,1.386345510811061,1.379963153846561,0.12858037725158888
47,78,179.5583739764195,179.6524055914706,1.3866552607129643,1.3804685495776303,0.1290064640029838
47,252,178.55668879584022,178.6705321613992,1.3881513423122815,1.3830002802440915,0.12911838242698773
47,201,178.87747264971765,178.8329354140052,1.385936074324012,1.3811322656015226,0.13017101059328223
47,176,178.60298490229164,178.59087870934144,1.3871518287005826,1.3812731821915611,0.13146711862570373
47,282,178.7711393696696,178.906239432252,1.391469583324076,1.385269063467221,0.13875839000785103
47,179,178.44975923497546,178.6729353686258,1.390003594047854,1.3840635143720394,0.13905231288220968
47,116,179.69310746627377,179.7273699188084,1.3899163587716945,1.3847148486707979,0.14052809187123785
47,304,178.7276537565168,178.616623812902,1.3900418725004775,1.3839121714378522,0.14053853161210042
47,274,178.49428158023025,178.80834954645226,1.392099953903225,1.384971924557996,0.14161973381283074
47,240,178.67259002027447,178.74558461520263,1.3918347160079825,1.3858906879329198,0.14244255503428094
47,257,179.10043904137177,179.02142097022926,1.3924007771831943,1.38599718701498,0.14281874081789284
47,145,178.44965870903428,178.54595167906243,1.3921841117606182,1.3855045167847495,0.1429757519649769
47,106,178.02147829199745,179.40861796409118,1.3906020456333303,1.3849488568145412,0.14300606544928937
238,283,179.26368538579268,179.3279889607761,1.3912543965054396,1.3831370706274462,0.14318498203686128
37,115,178.6245861671128,179.3793134097878,1.3924027995117232,1.3847589947028154,0.1437782936314276
47,272,178.50538687103142,178.668482814804,1.3919399440646216,1.3855267782245408,0.14388394826774797
47,175,178.97430844286674,179.12543792606152,1.3832100589228724,1.3804913587585188,0.14611097554763547
47,217,179.46039092902276,179.49276568477123,1.3926711200742743,1.3865230649641014,0.1462358485942241
47,296,179.23440302471352,179.24722854267503,1.3935801905969736,1.3865919013517645,0.14628496650751913
47,247,179.2010407909819,178.84907688315403,1.3883754625561011,1.3831329148140985,0.1466467060421322
238,238,178.28636716451732,178.41189056895615,1.3906500901054162,1.38222111461056,0.14823033727600707
78,158,178.44650370808841,178.71289490206215,1.391715553243796,1.383196873714856,0.14830611445353134
47,83,178.72338949849808,178.89195500318525,1.3928881333892054,1.3860620098308871,0.1483843042695856
47,225,179.0250934389436,179.2027974892849,1.3897852359400642,1.3844495434206023,0.14928078081284185
78,78,179.2640784163417,179.3257475714196,1.3920802874446772,1.383973996320394,0.14972447651011558
176,238,178.97096805524208,179.09506591994494,1.3912275510823189,1.3828418435211258,0.15043522156289935
47,303,178.1354178103074,178.3428541867213,1.389093575872551,1.3844999018905848,0.15059569190054511
47,124,179.81447241412582,179.69906767721903,1.393941703740082,1.3869289223033412,0.1509066442900803
158,176,178.7791350970736,178.7720598512064,1.391559874380789,1.382832937738785,0.15242491495488988
115,283,178.7229935268309,178.86218352255588,1.3922144740010445,1.3846546698504238,0.15267559366991434
47,292,178.99586395259084,179.13254341473285,1.393799792675242,1.3873197716076024,0.15485344525892286
78,176,178.94137561977095,178.99935070008038,1.3919089996789389,1.383509271619186,0.15485786330257542
